time,ax,ay,az,atotal
16.94342303276062,0.21,0.33,0.0,0.39
16.953577995300293,0.42,0.36,0.02,0.55
16.96381902694702,0.69,0.25,0.05,0.73
16.973569869995117,0.8,0.23,-0.03,0.83
17.017300128936768,0.71,0.26,-0.01,0.75
17.01827096939087,0.55,0.2,0.02,0.58
17.01920509338379,0.36,0.21,0.0,0.41
17.0201358795166,0.09,0.27,-0.04,0.28
17.02306294441223,0.06,0.26,0.1,0.28
17.035141944885254,0.05,0.27,0.01,0.27
17.04222011566162,0.18,0.2,0.12,0.29
17.05302405357361,0.22,0.18,0.04,0.28
17.06286382675171,0.27,0.17,0.02,0.31
17.0729718208313,0.39,0.12,0.05,0.41
17.117565155029297,0.37,0.03,0.01,0.37
17.118483066558838,0.33,-0.09,0.01,0.34
17.119323015213013,0.25,-0.1,0.01,0.26
17.12015700340271,0.36,-0.1,0.0,0.37
17.122601985931396,0.43,0.01,0.04,0.43
17.13433003425598,0.35,0.14,0.04,0.37
17.141458988189697,0.18,0.28,0.02,0.33
17.15229892730713,-0.03,0.34,0.03,0.34
17.162274837493896,-0.16,0.33,0.01,0.36
17.172232151031494,-0.15,0.27,0.02,0.3
17.218920946121216,-0.04,0.23,0.02,0.23
17.219830989837646,0.07,0.22,0.03,0.23
17.22146201133728,0.29,0.14,0.03,0.32
17.222343921661377,0.39,0.1,0.0,0.4
17.224061965942383,0.37,0.11,0.04,0.38
17.233723163604736,0.36,0.09,0.01,0.37
17.24078607559204,0.4,0.08,0.01,0.4
17.25145387649536,0.47,0.07,0.02,0.47
17.26210594177246,0.43,0.11,0.05,0.44
17.27178192138672,0.35,0.23,0.01,0.41
17.319271087646484,0.21,0.3,0.03,0.36
17.320912837982178,0.13,0.34,0.03,0.36
17.321771144866943,-0.01,0.33,0.02,0.33
17.322670936584473,-0.06,0.23,0.02,0.23
17.324344158172607,-0.02,0.15,0.01,0.15
17.33311891555786,0.03,0.13,0.06,0.14
17.34025502204895,0.19,0.02,0.02,0.19
17.35097885131836,0.37,-0.06,0.04,0.37
17.361318111419678,0.5,-0.06,0.01,0.5
17.370864868164062,0.6,-0.01,0.05,0.6
17.43435287475586,0.6,0.01,0.02,0.6
17.43519115447998,0.51,-0.03,0.02,0.51
17.43603515625,0.31,-0.06,0.02,0.31
17.436920166015625,0.13,-0.12,0.03,0.17
17.43941593170166,-0.06,-0.07,-0.02,0.09
17.44313907623291,-0.16,-0.1,0.0,0.18
17.444613933563232,-0.18,-0.08,0.03,0.19
17.45020294189453,-0.07,-0.1,0.04,0.12
17.460240840911865,0.15,-0.16,0.0,0.21
17.470119953155518,0.31,-0.1,0.06,0.33
17.533960819244385,0.45,-0.01,0.01,0.45
17.534916877746582,0.41,0.06,0.1,0.42
17.535842895507812,0.24,0.11,-0.1,0.28
17.53676700592041,0.07,0.07,0.08,0.12
17.53926706314087,0.02,-0.13,0.1,0.16
17.54296898841858,-0.01,-0.24,0.04,0.24
17.54390001296997,-0.14,-0.19,-0.05,0.24
17.54953098297119,-0.04,0.07,0.04,0.09
17.55972909927368,0.05,0.14,-0.03,0.15
17.569552898406982,0.09,0.16,0.02,0.18
17.634472846984863,0.07,0.27,0.05,0.28
17.635385990142822,0.21,0.21,0.05,0.3
17.63626194000244,0.27,0.24,0.03,0.36
17.637179851531982,0.26,0.13,0.03,0.29
17.639592170715332,0.14,0.16,0.0,0.21
17.64322805404663,0.05,0.13,0.08,0.16
17.64416003227234,0.18,0.01,0.06,0.19
17.64892292022705,0.1,0.01,-0.04,0.1
17.65904712677002,-0.18,0.12,0.04,0.21
17.66897487640381,-0.15,0.19,0.02,0.24
17.733690977096558,0.15,0.13,0.06,0.2
17.73463797569275,0.13,0.16,0.01,0.2
17.735546112060547,0.11,0.06,0.03,0.12
17.736487865447998,0.12,0.04,-0.02,0.12
17.739001035690308,0.13,-0.03,0.08,0.15
17.742597103118896,0.11,0.07,0.0,0.13
17.74353313446045,0.07,0.08,0.04,0.11
17.748234033584595,0.11,0.08,0.01,0.13
17.75844383239746,0.27,-0.02,0.2,0.33
17.76824188232422,0.19,0.05,-0.16,0.25
17.83016800880432,0.01,0.25,0.0,0.25
17.83407497406006,-0.01,-0.05,0.09,0.1
17.835033893585205,0.03,-0.03,0.0,0.04
